Coefficients:,,,,,
,Estimate,Std. Error,t value,Pr(>|t|),
(Intercept),13900.28,129.73,107.145,< 2e-16,***
race_binary,22090.01,1794.72,12.308,< 2e-16,***
gender_b,-91.79,2163.13,-0.042,0.966,
urban_b,17160.53,857.77,20.006,< 2e-16,***
region_b,7034.48,12475.93,0.564,0.573,
race_binary:gender_b,-16335.47,3295.43,-4.957,7.16E-07,***
race_binary:urban_b,1756.74,2287.64,0.768,0.443,
gender_b:urban_b,-10416.73,2463.46,-4.229,2.35E-05,***
race_binary:region_b,2578.17,12788.88,0.202,0.84,
gender_b:region_b,5844.53,15846.02,0.369,0.712,
urban_b:region_b,-9921.23,12662.31,-0.784,0.433,
race_binary:gender_b:urban_b,-235.89,3836.5,-0.061,0.951,
race_binary:gender_b:region_b,-15627.33,16324.26,-0.957,0.338,
race_binary:urban_b:region_b,-7840,13121.43,-0.597,0.55,
gender_b:urban_b:region_b,-4996.12,16110.19,-0.31,0.756,
race_binary:gender_b:urban_b:region_b,16665.66,16808.21,0.992,0.321,
,7665.56,,,,
,-6234.72,,,,
,,,,,
6114.31,,,,,
,,,,,
,,,,,
,,,,,
,42,,,,
,45,,,,
,96,183,,,
,,,,,
,36,,,,
,78,,,,
,33,,,,
,72,,,,
,60,,,,
,105,384,567,,